num ex mark,num words,num chars,avg_word,stopwords,upper,ScoreAngry,ScoreDisgust,ScoreFear,ScoreHappy,ScoreSad,ScoreSurprise
0,19,80,4.77,5,1,0,0,0,0,0,0
0,12,61,4.168,6,1,0,0,0,0,0,0
0,21,108,4.19,8,0,0,0,1,0,1,0
0,7,36,4.285,1,1,0,0,1,0,0,1
0,3,13,3.666,2,0,0,0,0,1,1,0
0,19,106,4.633,8,0,1,0,0,0,0,0
1,6,46,6.832,0,0,2,0,0,1,0,1
0,10,39,3.75,0,7,2,0,0,1,0,0
0,49,258,4.285,21,0,0,0,0,2,1,1
0,15,85,5.07,6,0,0,0,0,0,0,0
0,12,56,3.75,8,0,0,0,0,0,0,0
0,3,16,4.668,1,0,0,0,0,1,0,1
0,3,18,5.332,1,0,0,0,0,1,1,1
2,28,135,3.857,10,1,0,0,0,0,0,0
0,26,114,3.424,13,0,1,0,0,1,0,1
0,43,207,3.838,22,0,0,0,0,0,0,0
0,7,42,5.145,0,1,0,1,0,1,0,0
0,40,211,5.375,14,0,0,0,0,0,0,0
0,23,90,4.0,8,0,0,0,0,1,0,0
0,29,132,4.523,11,0,0,0,0,0,0,0
0,6,31,4.332,2,1,0,0,0,0,0,0
0,10,52,4.3,5,0,0,1,0,0,0,0
0,15,56,4.2,4,1,0,0,0,0,1,0
0,8,52,5.625,1,0,0,0,0,1,0,1
0,7,36,4.285,2,0,0,0,0,0,0,0
0,5,26,5.5,0,0,0,0,0,0,0,0
0,5,25,4.2,2,0,0,0,0,0,0,0
0,12,62,4.25,4,0,0,0,0,0,0,0
0,21,79,3.934,7,0,0,0,0,0,0,0
0,7,37,4.43,3,0,0,0,0,1,0,1
0,13,72,4.617,6,0,0,0,0,1,1,0
2,15,89,5.0,2,1,0,0,0,0,0,0
0,11,68,5.273,5,0,0,0,1,0,1,0
4,16,118,7.355,3,0,0,0,0,0,0,0
0,15,71,3.8,7,0,0,0,0,0,0,0
0,17,83,3.941,10,0,0,0,0,0,0,0
0,25,134,4.4,13,0,1,0,1,0,2,0
0,4,33,7.5,0,0,0,0,0,0,0,0
0,5,27,4.6,1,0,0,0,0,0,0,0
0,18,94,4.277,10,0,0,0,0,0,0,0
0,6,23,3.0,4,0,0,0,0,0,0,0
0,10,51,4.2,4,0,0,0,0,0,0,0
0,29,126,3.379,16,0,0,0,0,0,0,0
0,20,104,4.25,10,0,0,0,0,1,0,1
0,13,62,3.846,7,0,0,0,1,0,0,0
0,16,91,4.75,7,0,0,0,0,1,0,0
0,6,37,5.332,1,0,0,0,0,0,0,0
1,8,51,5.5,1,0,2,0,2,1,0,2
0,10,53,4.4,3,1,0,0,0,1,0,1
1,15,64,3.334,7,1,0,0,0,0,0,0
0,32,164,4.156,19,0,0,0,0,2,0,1
0,47,193,3.77,18,4,1,0,1,0,0,1
0,10,65,5.6,4,0,0,0,0,0,0,0
0,16,79,4.0,10,0,0,0,0,0,0,0
0,1,15,15.0,0,0,0,0,1,0,0,0
0,21,104,4.0,13,0,1,1,1,1,1,1
0,15,101,6.69,3,0,1,1,1,1,1,1
0,21,79,3.934,6,2,0,0,0,0,0,0
1,17,88,4.5,3,1,0,0,0,0,0,0
0,23,116,4.273,3,0,1,0,0,1,1,0
0,8,46,4.875,1,0,0,0,0,0,0,0
0,6,44,6.5,0,5,0,0,0,0,0,0
1,17,92,4.47,8,0,0,0,1,1,0,1
0,48,249,4.207,24,0,0,1,0,0,0,0
0,25,133,4.543,9,1,0,1,0,1,0,0
0,27,138,4.31,8,0,0,0,0,0,0,0
0,20,92,3.65,12,0,0,0,0,0,0,0
0,8,40,4.125,5,0,0,0,0,0,0,0
0,18,94,4.53,8,0,0,0,0,0,0,0
6,8,49,5.25,1,4,0,0,0,0,0,0
0,12,34,3.285,3,1,0,0,0,1,0,0
0,22,97,4.75,9,1,0,0,0,0,0,0
0,16,87,4.5,7,0,0,0,0,0,0,0
0,37,180,3.893,22,0,0,0,0,0,0,0
0,7,32,3.715,2,0,0,0,0,0,0,0
0,19,94,4.0,10,0,0,0,0,0,0,0
0,17,84,4.0,9,0,0,0,0,1,0,0
5,14,66,4.08,4,0,0,0,0,0,0,0
0,7,28,3.143,3,0,0,0,1,1,0,1
1,1,13,13.0,0,0,0,0,0,0,0,0
0,23,87,3.824,7,1,0,0,0,0,0,0
0,8,30,3.285,2,0,0,0,0,1,0,0
0,10,59,5.0,4,0,0,0,0,0,0,0
0,36,165,3.611,16,2,0,0,0,1,1,0
0,16,90,4.688,6,0,0,0,0,0,0,0
3,17,81,4.062,4,1,1,1,1,0,0,0
0,9,45,4.11,3,0,0,0,0,1,0,0
3,10,87,7.8,0,1,0,0,0,2,0,0
0,23,110,4.0,3,1,0,0,0,0,0,0
0,19,105,4.58,10,0,0,0,1,0,0,0
0,6,32,4.5,2,0,1,0,1,0,0,0
0,25,135,4.44,3,1,0,0,0,0,0,0
0,10,34,5.0,1,1,0,0,1,0,1,0
0,8,33,3.25,3,1,0,0,0,0,0,0
0,15,76,4.133,5,0,0,0,0,0,1,0
0,26,136,4.27,7,1,0,0,0,0,0,0
0,22,123,5.1,9,1,0,0,0,1,0,0
0,25,130,4.24,12,0,0,0,0,0,0,0
0,16,72,3.562,10,0,0,0,0,0,0,0
0,25,111,4.832,7,2,0,0,0,0,0,0
0,12,106,7.918,3,0,0,0,0,1,0,1
0,33,156,3.758,20,0,0,0,1,0,0,0
1,16,106,6.066,5,0,0,0,0,1,0,0
0,22,125,4.953,6,1,0,0,0,0,0,0
0,10,50,4.1,4,1,0,0,0,0,0,0
0,13,77,5.0,4,1,0,0,0,0,0,0
0,23,105,3.61,12,0,0,0,0,1,0,0
0,22,80,3.688,8,1,2,1,2,0,2,0
0,19,81,3.316,7,0,1,1,0,1,0,0
0,12,52,3.416,7,0,0,0,0,2,0,1
0,25,142,4.72,13,0,2,1,2,0,2,0
0,6,35,5.0,3,0,0,0,0,0,0,0
0,18,91,4.11,10,0,0,0,0,0,1,0
0,28,146,4.25,15,0,0,0,0,0,0,0
0,5,25,4.2,1,0,0,0,0,1,0,0
0,15,57,4.3,3,1,2,0,0,0,0,0
0,30,147,3.934,15,0,0,2,0,0,2,0
0,16,82,4.188,4,0,0,0,0,0,0,0
0,23,137,5.0,5,1,0,0,0,0,0,0
0,5,39,7.0,1,0,0,0,0,1,1,0
0,4,20,4.25,2,0,0,0,0,1,1,0
2,21,121,5.05,6,2,1,0,2,0,1,0
1,12,64,4.816,4,3,0,0,0,1,0,1
0,7,41,5.0,3,0,0,0,0,2,1,0
0,12,57,3.834,7,0,0,0,0,1,0,0
0,5,25,4.2,2,0,0,0,1,1,0,0
0,24,129,4.418,13,0,0,0,0,0,0,0
0,11,58,4.8,3,0,0,0,0,0,0,0
0,27,139,4.184,15,0,0,0,0,1,1,0
0,21,127,5.094,7,0,1,0,1,0,1,1
0,10,41,3.2,3,2,0,0,0,0,0,0
1,26,133,4.32,9,2,0,0,0,2,0,1
0,10,39,3.334,3,0,0,0,0,0,0,0
0,7,42,5.145,4,0,0,0,0,0,0,0
0,16,73,3.625,4,0,0,0,0,1,0,0
0,11,71,5.547,5,0,2,1,0,0,0,0
0,19,102,4.42,10,0,0,0,0,2,0,1
0,18,79,3.445,10,2,1,1,1,0,1,0
0,9,43,4.375,3,0,1,0,1,0,1,0
0,19,79,3.21,11,0,0,0,0,1,0,0
0,9,43,3.889,6,0,0,0,0,2,0,0
1,22,116,4.316,10,0,0,0,0,0,0,0
3,21,112,4.383,8,1,0,0,0,0,0,0
0,4,27,6.0,1,0,0,0,0,1,0,0
0,16,82,4.188,6,0,0,0,0,1,0,0
0,27,153,4.703,14,0,0,0,0,0,1,0
0,9,53,5.0,3,0,0,0,0,0,0,0
3,15,68,3.857,4,0,0,0,0,0,0,0
0,21,95,3.75,8,1,1,0,0,0,2,0
0,9,52,4.89,4,0,2,2,2,1,3,0
4,14,104,7.0,2,0,1,1,2,0,1,1
0,10,59,5.0,3,1,1,1,0,0,0,0
3,13,49,3.084,4,1,0,0,0,1,0,1
0,4,28,6.25,0,0,0,0,0,1,0,1
0,12,57,3.834,4,0,0,0,0,0,0,0
0,25,116,3.68,12,0,1,1,2,1,0,1
0,9,23,3.75,2,0,0,0,0,1,0,0
0,5,36,6.4,1,0,0,0,0,2,0,0
0,22,101,3.637,10,1,0,0,0,0,0,0
1,8,47,5.0,1,0,0,0,0,1,0,1
0,8,41,4.25,4,0,1,0,0,0,0,0
3,12,91,6.668,0,5,0,0,0,0,0,0
0,7,40,4.855,1,2,0,0,0,0,0,0
0,11,62,4.727,5,0,0,0,0,0,0,0
0,22,112,4.332,7,1,0,0,0,0,0,0
0,21,98,3.715,9,2,0,0,0,0,0,0
0,13,64,4.0,5,0,0,0,0,0,0,0
0,14,49,4.0,3,1,0,0,1,0,1,0
0,17,87,4.176,8,0,0,0,0,1,0,0
0,5,30,5.2,2,0,0,0,0,1,0,1
0,2,18,8.5,0,0,0,0,0,0,0,0
0,8,32,3.125,4,0,0,0,0,0,0,0
0,12,63,4.332,4,0,0,0,0,0,0,0
0,4,23,5.0,0,0,0,0,0,2,0,0
1,4,19,5.332,0,0,0,0,0,0,0,0
1,12,56,3.75,5,0,1,0,1,1,1,0
0,37,189,4.137,17,0,0,0,0,1,1,0
0,29,161,4.586,15,0,0,0,1,0,1,0
0,5,25,4.2,3,0,0,0,0,0,0,0
0,19,109,4.79,7,1,0,1,0,0,1,0
0,7,30,3.428,0,0,0,0,1,0,1,0
0,34,181,4.35,19,0,0,0,0,0,0,0
0,28,113,3.908,13,1,0,0,0,1,0,0
0,5,25,4.2,1,0,0,2,1,0,1,0
1,13,68,4.668,4,0,0,0,0,0,0,0
0,23,134,4.87,9,0,0,0,0,1,1,0
0,12,64,4.418,5,0,1,0,0,0,0,0
0,27,134,4.0,7,1,0,1,0,0,0,0
0,11,34,4.0,3,0,0,1,0,0,0,0
0,13,86,5.69,4,0,0,0,0,0,0,0
0,9,45,4.11,2,0,0,0,0,2,0,0
0,6,31,4.332,2,0,1,1,0,0,1,0
0,25,140,4.64,11,0,0,0,0,0,0,0
0,16,105,5.625,3,0,0,0,0,0,0,0
0,19,101,4.61,6,0,0,0,0,1,0,0
0,11,52,3.818,5,0,0,0,0,1,0,1
0,6,27,3.666,2,0,0,0,0,0,0,0
0,8,49,5.25,3,0,0,0,0,0,0,0
0,15,66,3.467,10,0,1,1,1,1,0,0
0,14,67,4.5,5,0,0,0,0,0,0,0
0,38,212,4.605,22,0,1,1,0,0,0,0
0,12,61,4.168,4,0,0,0,0,0,0,0
0,18,87,3.889,4,0,0,0,0,0,0,0
0,4,16,3.25,1,0,0,0,0,0,0,0
0,4,21,4.5,1,0,0,0,0,0,0,0
0,10,53,4.4,3,0,0,0,0,0,1,0
0,32,144,3.531,22,0,0,1,0,0,0,0
0,23,105,3.61,16,0,0,0,0,0,0,0
0,2,12,5.5,0,0,0,0,0,0,0,0
1,12,67,4.668,3,1,0,0,0,2,0,0
0,13,64,4.0,8,0,0,1,0,1,1,0
0,16,58,3.908,4,2,1,0,0,1,0,0
0,29,166,4.758,13,0,0,0,1,7,0,3
0,17,85,4.06,7,0,1,0,1,0,0,1
0,9,50,4.668,3,0,0,0,0,0,0,0
0,7,31,3.572,4,0,0,0,0,0,0,0
0,31,137,3.451,20,0,1,0,1,3,0,2
0,9,46,4.223,3,2,0,0,0,0,1,0
1,12,76,5.91,5,0,0,0,0,1,0,0
1,3,21,6.332,0,0,0,0,0,0,0,0
0,25,108,3.36,18,0,0,0,0,0,0,0
0,14,68,3.928,7,0,0,0,0,0,0,0
0,18,79,5.168,4,1,0,0,0,2,0,1
0,17,61,3.75,5,1,0,0,0,0,0,0
0,13,69,4.383,5,0,0,0,1,0,1,0
0,3,20,6.0,2,0,0,0,0,0,0,0
0,23,134,4.87,6,2,0,0,0,0,0,0
0,41,197,3.83,21,0,0,0,0,0,0,0
0,18,67,3.846,5,2,0,0,1,1,0,0
0,19,70,3.715,5,1,0,0,0,1,0,0
0,32,152,3.781,13,0,0,0,0,0,0,0
0,14,61,3.428,7,0,0,0,0,0,0,0
0,11,58,4.363,6,0,0,0,0,2,1,0
0,18,120,6.06,4,1,1,2,1,1,2,0
0,11,54,4.0,5,0,0,0,0,0,0,0
0,6,42,6.168,2,0,0,0,0,0,1,0
2,19,90,3.79,9,1,0,0,0,0,0,0
0,8,56,6.125,2,2,0,0,0,0,0,0
0,12,56,3.75,3,0,0,0,0,2,0,0
0,36,168,3.695,18,0,0,0,0,1,0,0
0,9,28,5.0,0,0,0,0,0,0,0,0
0,13,70,4.46,7,0,1,0,0,1,0,0
0,25,113,4.684,11,1,0,0,0,0,0,0
0,7,37,4.43,2,0,0,0,0,1,0,1
0,4,22,4.75,1,0,0,0,0,1,1,0
5,21,128,5.4,7,1,0,0,0,0,0,0
1,13,69,4.383,3,0,0,0,0,0,0,0
0,22,127,4.816,10,0,0,1,1,0,0,0
1,9,49,4.555,3,0,0,0,0,0,0,0
0,3,16,4.668,0,0,0,0,0,0,0,0
0,16,103,5.5,7,0,0,0,0,0,0,0
0,23,120,4.26,8,2,0,0,0,0,0,0
1,16,100,5.312,3,1,0,0,0,0,0,0
0,8,59,6.5,2,0,0,0,0,0,0,0
1,18,114,5.39,3,0,0,0,1,1,0,0
0,42,244,4.832,25,0,0,0,0,1,0,0
3,16,76,3.812,7,1,0,0,0,0,0,0
